PMT x y 
139 12.612083948892357 42.719261913873133 
140 -40.169379409500110 13.357430810437622 
141 -32.778343149409821 16.418898269358341 
142 -25.387306889319525 19.480365728279057 
143 -17.996270629229230 22.541833187199778 
144 -10.605234369138937 25.603300646120495 
145 -3.214198109048644 28.664768105041212 
146 4.176838151041650 31.726235563961932 
147 11.567874411131942 34.787703022882653 
148 18.958910671222238 37.849170481803370 
149 -41.213588947260526 5.425871919447141 
150 -33.822552687170230 8.487339378367858 
151 -26.431516427079938 11.548806837288577 
152 -19.040480166989642 14.610274296209296 
153 -11.649443906899350 17.671741755130014 
154 -4.258407646809056 20.733209214050731 
155 3.132628613281237 23.794676672971448 
156 10.523664873371533 26.856144131892169 
157 17.914701133461826 29.917611590812889 
158 25.305737393552118 32.979079049733606 
159 -42.257798485020942 -2.505686971543344 
